Date,Opponent,Result,REB,OFF,DEF,OFF REB%,DEF REB%,REB%,STL,BLK
11/06,@ PITT,L 61-63,32.0,9.0,23.0,,,,4.0,6.0
11/10,@ FLA,W 63-51,35.0,9.0,26.0,,,,8.0,5.0
11/15,vs WCU,W 79-74,30.0,9.0,21.0,,,,3.0,6.0
11/20,vs CHAT,W 89-53,39.0,11.0,28.0,,,,10.0,5.0
11/23,vs SFPA,W 80-65,35.0,13.0,22.0,,,,11.0,5.0
11/25,vs CHS,W 113-56,39.0,14.0,25.0,,,,13.0,3.0
11/29,vs TENN,W 60-57,28.0,7.0,21.0,,,,13.0,2.0
11/30,@ PUR,W 63-60,29.0,9.0,20.0,,,,16.0,6.0
12/03,@ IND,L 64-80,25.0,7.0,18.0,,,,8.0,2.0
12/08,vs CLEM,W 72-53,31.0,7.0,24.0,,,,6.0,9.0
12/17,vs UNF,W 98-81,35.0,12.0,23.0,,,,11.0,4.0
12/21,@ USF,W 66-60,25.0,8.0,17.0,,,,13.0,10.0
12/28,vs UNA,W 88-71,28.0,8.0,20.0,,,,9.0,6.0
12/31,vs GT,W 70-58,31.0,9.0,22.0,,,,11.0,9.0
01/04,@ LOU,W 78-65,31.0,9.0,22.0,,,,6.0,6.0
01/08,@ WAKE,W 78-68,30.0,11.0,19.0,,,,10.0,5.0
01/15,vs UVA,W 54-50,28.0,10.0,18.0,,,,10.0,5.0
01/18,@ MIA,W 83-79,31.0,10.0,21.0,,,,15.0,10.0
01/25,vs ND,W 85-84,33.0,12.0,21.0,,,,9.0,2.0
01/28,@ UVA,L 56-61,22.0,5.0,17.0,,,,9.0,5.0
02/01,@ VT,W 74-63,27.0,4.0,23.0,,,,4.0,5.0
02/03,vs UNC,W 65-59,43.0,9.0,34.0,,,,3.0,10.0
02/08,vs MIA,W 99-81,46.0,16.0,30.0,,,,5.0,4.0
02/10,@ DUKE,L 65-70,32.0,15.0,17.0,,,,16.0,7.0
02/15,vs SYR,W 80-77,42.0,18.0,24.0,,,,7.0,3.0
02/18,vs PITT,W 82-67,37.0,14.0,23.0,,,,6.0,6.0
02/22,@ NCST,W 67-61,38.0,15.0,23.0,,,,6.0,4.0
02/24,vs LOU,W 82-67,35.0,9.0,26.0,,,,7.0,4.0
02/29,@ CLEM,L 69-70,33.0,6.0,27.0,,,,7.0,3.0
03/04,@ ND,W 73-71,31.0,10.0,21.0,,,,8.0,2.0
03/07,vs BC,W 80-62,44.0,14.0,30.0,,,,9.0,3.0
03/12,vs TBA,,,,,,,,,
