Date,Opponent,Result,TECH,PF,FO,FLAG,JUMPSHOT,DUNK,LAYUP,TIPIN,HOOK,PF.1
11/06,@ PITT,L 61-63,,27.0,3.0,1.0,,,,,,27.0
11/10,@ FLA,W 63-51,,17.0,0.0,0.0,,,,,,17.0
11/15,vs WCU,W 79-74,,18.0,0.0,0.0,,,,,,18.0
11/20,vs CHAT,W 89-53,,7.0,0.0,0.0,,,,,,7.0
11/23,vs SFPA,W 80-65,,15.0,0.0,0.0,,,,,,15.0
11/25,vs CHS,W 113-56,,24.0,0.0,0.0,,,,,,24.0
11/29,vs TENN,W 60-57,,22.0,0.0,0.0,,,,,,22.0
11/30,@ PUR,W 63-60,,16.0,0.0,0.0,,,,,,16.0
12/03,@ IND,L 64-80,,24.0,1.0,0.0,,,,,,24.0
12/08,vs CLEM,W 72-53,,14.0,0.0,0.0,,,,,,14.0
12/17,vs UNF,W 98-81,,13.0,0.0,0.0,,,,,,13.0
12/21,@ USF,W 66-60,,18.0,0.0,0.0,,,,,,18.0
12/28,vs UNA,W 88-71,,15.0,0.0,0.0,,,,,,15.0
12/31,vs GT,W 70-58,,12.0,0.0,0.0,,,,,,12.0
01/04,@ LOU,W 78-65,,15.0,0.0,0.0,,,,,,15.0
01/08,@ WAKE,W 78-68,,22.0,0.0,0.0,,,,,,22.0
01/15,vs UVA,W 54-50,,10.0,0.0,0.0,,,,,,10.0
01/18,@ MIA,W 83-79,,20.0,0.0,0.0,,,,,,20.0
01/25,vs ND,W 85-84,,21.0,0.0,0.0,,,,,,21.0
01/28,@ UVA,L 56-61,,20.0,0.0,1.0,,,,,,20.0
02/01,@ VT,W 74-63,,8.0,0.0,0.0,,,,,,8.0
02/03,vs UNC,W 65-59,,19.0,0.0,0.0,,,,,,19.0
02/08,vs MIA,W 99-81,,20.0,0.0,0.0,,,,,,20.0
02/10,@ DUKE,L 65-70,,18.0,1.0,0.0,,,,,,18.0
02/15,vs SYR,W 80-77,,22.0,1.0,0.0,,,,,,22.0
02/18,vs PITT,W 82-67,,21.0,0.0,0.0,,,,,,21.0
02/22,@ NCST,W 67-61,,15.0,0.0,0.0,,,,,,15.0
02/24,vs LOU,W 82-67,,16.0,0.0,0.0,,,,,,16.0
02/29,@ CLEM,L 69-70,,20.0,0.0,0.0,,,,,,20.0
03/04,@ ND,W 73-71,,16.0,0.0,0.0,,,,,,16.0
03/07,vs BC,W 80-62,,20.0,0.0,0.0,,,,,,20.0
03/12,vs TBA,,,,,,,,,,,
