Rank,Team,2019,Last 3,Last 1,Home,Away,2018
1,Miss Val St,80.5,80.5,80.5,77.9,81.5,72.3
2,Houston Bap,80.1,77.8,75.7,79.9,80.2,77.4
3,Central Ark,79.3,75.4,77.2,76.3,81,73.3
4,Alabama,79,72.6,67.1,77.4,80.5,71.6
5,Delaware St,78.3,78.1,75.8,79.5,77.4,73.7
6,Buffalo,77,73.8,71.4,75.1,79,76.2
7,NC A&T,76.9,75.6,80.1,79.9,75.1,70
8,TX Southern,76.9,77.9,75,76.6,77,78.8
9,Beth-Cook,76.8,78.6,79.7,79.6,75.4,76.1
10,Marshall,76.8,81.7,82.7,76.2,77.5,78.3
11,WI-Grn Bay,76.6,73.9,73.2,76.7,76.5,77.9
12,E Kentucky,76.6,72.4,70.7,75.1,77.5,81.9
13,Coppin State,76.5,79,78.3,77.1,76.2,73.8
14,Sam Hous St,76.4,72.9,78.4,74.6,77.7,71
15,NW State,76.4,78.8,77.2,76.2,76.5,72
16,St Johns,76.2,72.3,79.2,77.5,74.1,74.6
17,Georgia St,76.1,76.4,73.3,76.4,75.9,72.5
18,Central Mich,76.1,74.3,73,76.5,75.7,75.9
19,Citadel,76.1,71.6,72.3,75,76.8,76.6
20,San Jose St,76,77.7,78.9,76.9,75.1,73.4
21,Samford,76,81.2,78.7,73.6,77.6,74.8
22,TX-San Ant,75.9,75.7,82.7,75.6,76.2,75.5
23,SE Louisiana,75.9,77.8,78.2,74.5,76.8,68.1
24,Duke,75.7,70.3,71.6,74.4,77.4,74.9
25,Nebraska,75.7,82.9,80.4,75.9,75.5,69
26,Ste F Austin,75.7,76.3,78.4,76.6,74.8,71.9
27,LIU,75.6,74.5,72.6,75,76,--
28,Wright State,75.6,74.3,75,76.1,75.2,69.1
29,E Washingtn,75.6,71.9,75.3,76.5,74.9,71.6
30,Memphis,75.4,75.3,70.5,76.6,73.9,77.4
31,Arizona St,75.3,78.5,87.4,76.9,73.6,75.5
32,Coastal Car,74.9,73.4,71.2,73.3,76.5,72.7
33,Howard,74.8,74.8,75.8,74.3,75.2,75.6
34,Georgia,74.7,70.5,74.3,75.5,73.8,72.4
35,S Carolina,74.5,76.9,78.9,74.4,74.7,73.6
36,Gonzaga,74.4,70.7,70.2,74.7,74.1,73.2
37,Florida Intl,74.4,72.3,77.2,74.9,74.1,80.7
38,Santa Clara,74.4,73.2,77.2,74.3,74.5,69.2
39,W Carolina,74.2,70.5,75.2,74.2,74.2,73.5
40,DePaul,74.2,70,73.8,73.9,74.7,73.6
41,Pepperdine,74.2,76.2,81.5,73.1,75.1,72.4
42,Alcorn State,74.1,73.4,75,71.9,75.3,69.1
43,Florida A&M,74.1,70.6,79.7,72.3,74.8,69.3
44,New Mexico,74.1,72.5,72.1,74,74.1,75.9
45,GA Southern,74,78,78.2,74.1,74,76
46,Nicholls St,74,71.2,68,73.7,74.1,71.8
47,LA Lafayette,73.9,79.7,78.2,73.7,74.2,75.8
48,Arkansas,73.9,76.7,72.4,73.3,74.9,74
49,Monmouth,73.9,71.2,70.4,74.4,73.5,71
50,Winthrop,73.9,75,73.3,75.7,72.6,75.3
51,Portland St,73.9,74.3,71.1,74,73.8,73.1
52,W Illinois,73.8,73.2,73,73.7,74,70.9
53,Marquette,73.8,73,79.2,73.2,74.5,73.1
54,Prairie View,73.7,75.4,79,72,74.5,74
55,Lamar,73.7,71.2,73.7,73.2,74.1,73.3
56,Oral Roberts,73.7,72.3,69.7,74.8,73,70.1
57,Auburn,73.7,70.6,67.7,74.2,73.1,70.9
58,Morgan St,73.7,73.1,70.7,71.9,74.8,76.3
59,Rhode Island,73.7,67.1,62.3,73.6,73.7,70.4
60,Wake Forest,73.6,71.9,69.8,75.4,72.1,70.9
61,Belmont,73.5,70.2,71.4,74.3,73,75.8
62,Rider,73.4,73.6,73.8,73.2,73.6,76
63,IUPUI,73.4,71.7,75.9,74.6,72.7,72.6
64,N Carolina,73.3,72.5,71.6,74.4,72.3,77.6
65,McNeese St,73.3,73.1,73.7,75.1,72,69.3
66,Nevada,73.3,73.3,73.2,73.8,72.7,72.4
67,Neb Omaha,73.2,72.8,74,73,73.4,71.6
68,WI-Milwkee,73.2,64.6,63.1,74.3,72.3,70.4
69,Mass Lowell,73.2,67.1,69.6,71.5,75,73.1
70,New Orleans,73.2,76.6,78.2,73,73.3,72.6
71,Temple,73.2,65.9,66.3,74.3,72.1,72.8
72,Georgetown,73.2,71.6,68.7,74.3,71.6,76.6
73,Lg Beach St,73.2,76.3,71.8,73.1,73.2,75.1
74,Wash State,73.2,80.2,87.4,71.9,74.5,72.8
75,Abl Christian,73.1,73.2,72.1,73.8,72.6,68.1
76,TX-Pan Am,73.1,73.6,81.7,75.2,71.8,73.7
77,St Josephs,73.1,71,68.8,71.5,74.3,70.3
78,Connecticut,73.1,70.9,73.5,73.2,72.9,72
