Date,Opponent,Result,PTS,AST,TO,PPS,PTS/POSS,eFG%,TS%
11/06,@ PITT,L 61-63,61.0,6.0,14.0,1.2,,45.3,51.2
11/10,@ FLA,W 63-51,63.0,11.0,9.0,1.1,,40.9,48.4
11/15,vs WCU,W 79-74,79.0,10.0,14.0,1.4,,50.9,58.7
11/20,vs CHAT,W 89-53,89.0,20.0,11.0,1.4,,60.0,61.4
11/23,vs SFPA,W 80-65,80.0,15.0,19.0,1.3,,54.2,59.3
11/25,vs CHS,W 113-56,113.0,21.0,16.0,1.9,,74.1,78.9
11/29,vs TENN,W 60-57,60.0,7.0,13.0,1.1,,38.0,44.9
11/30,@ PUR,W 63-60,63.0,7.0,13.0,1.1,,38.8,45.7
12/03,@ IND,L 64-80,64.0,7.0,13.0,1.2,,53.8,53.3
12/08,vs CLEM,W 72-53,72.0,16.0,13.0,1.3,,60.2,61.6
12/17,vs UNF,W 98-81,98.0,20.0,11.0,1.4,,61.1,62.7
12/21,@ USF,W 66-60,66.0,16.0,13.0,1.2,,46.4,52.1
12/28,vs UNA,W 88-71,88.0,17.0,12.0,1.4,,55.5,61.6
12/31,vs GT,W 70-58,70.0,16.0,12.0,1.1,,50.8,52.3
01/04,@ LOU,W 78-65,78.0,15.0,13.0,1.3,,64.7,64.8
01/08,@ WAKE,W 78-68,78.0,10.0,10.0,1.3,,48.4,53.7
01/15,vs UVA,W 54-50,54.0,11.0,16.0,1.0,,44.4,46.9
01/18,@ MIA,W 83-79,83.0,21.0,15.0,1.2,,49.3,54.0
01/25,vs ND,W 85-84,85.0,15.0,18.0,1.3,,55.4,59.7
01/28,@ UVA,L 56-61,56.0,9.0,7.0,1.0,,45.4,47.6
02/01,@ VT,W 74-63,74.0,16.0,8.0,1.3,,57.9,59.8
02/03,vs UNC,W 65-59,65.0,9.0,16.0,1.2,,45.5,52.0
02/08,vs MIA,W 99-81,99.0,18.0,19.0,1.5,,62.9,67.4
02/10,@ DUKE,L 65-70,65.0,7.0,12.0,1.0,,40.2,43.4
02/15,vs SYR,W 80-77,80.0,17.0,17.0,1.2,,51.5,55.2
02/18,vs PITT,W 82-67,82.0,20.0,16.0,1.3,,57.0,59.2
02/22,@ NCST,W 67-61,67.0,8.0,8.0,1.2,,45.4,50.2
02/24,vs LOU,W 82-67,82.0,9.0,11.0,1.5,,55.5,61.3
02/29,@ CLEM,L 69-70,69.0,11.0,16.0,1.4,,58.0,59.6
03/04,@ ND,W 73-71,73.0,8.0,10.0,1.2,,47.6,52.5
03/07,vs BC,W 80-62,80.0,16.0,9.0,1.1,,45.9,48.4
03/12,vs TBA,,,,,,,,
