Date,Opponent,Result,FGM,FGA,FG%,FTM,FTA,FT%,3FGM,3FGA,3FG%,PTS,AST,TO,PPS,eFG%,TS%,REB,OFF,DEF,STL,BLK,PF,FO,FLAG,Home/Away,Win/Loss,PTs/A
11/06,Pittsburgh,61-63,21.0,53.0,39.6,13.0,15.0,86.7,6.0,20.0,30.0,61.0,6.0,14.0,1.2,45.3,51.2,32.0,9.0,23.0,4.0,6.0,27.0,3.0,1.0,Away,L,63.0
11/10,Florida,63-51,20.0,55.0,36.4,18.0,23.0,78.3,5.0,17.0,29.4,63.0,11.0,9.0,1.1,40.9,48.4,35.0,9.0,26.0,8.0,5.0,17.0,0.0,0.0,Away,W,51.0
11/15,W Carolina,79-74,25.0,55.0,45.5,23.0,28.0,82.1,6.0,20.0,30.0,79.0,10.0,14.0,1.4,50.9,58.7,30.0,9.0,21.0,3.0,6.0,18.0,0.0,0.0,Home,W,74.0
11/20,Chattanooga,89-53,34.0,65.0,52.3,11.0,17.0,64.7,10.0,25.0,40.0,89.0,20.0,11.0,1.4,60.0,61.4,39.0,11.0,28.0,10.0,5.0,7.0,0.0,0.0,Home,W,53.0
11/23,St Fran (PA),80-65,28.0,60.0,46.7,15.0,17.0,88.2,9.0,25.0,36.0,80.0,15.0,19.0,1.3,54.2,59.3,35.0,13.0,22.0,11.0,5.0,15.0,0.0,0.0,Home,W,65.0
11/25,Chicago St,113-56,38.0,58.0,65.5,27.0,31.0,87.1,10.0,23.0,43.5,113.0,21.0,16.0,1.9,74.1,78.9,39.0,14.0,25.0,13.0,3.0,24.0,0.0,0.0,Home,W,56.0
11/29,Tennessee,60-57,19.0,54.0,35.2,19.0,29.0,65.5,3.0,11.0,27.3,60.0,7.0,13.0,1.1,38.0,44.9,28.0,7.0,21.0,13.0,2.0,22.0,0.0,0.0,Home,W,57.0
11/30,Purdue,63-60,22.0,58.0,37.9,18.0,25.0,72.0,1.0,17.0,5.9,63.0,7.0,13.0,1.1,38.8,45.7,29.0,9.0,20.0,16.0,6.0,16.0,0.0,0.0,Away,W,60.0
12/03,Indiana,64-80,25.0,53.0,47.2,7.0,16.0,43.8,7.0,19.0,36.8,64.0,7.0,13.0,1.2,53.8,53.3,25.0,7.0,18.0,8.0,2.0,24.0,1.0,0.0,Away,L,80.0
12/08,Clemson,72-53,25.0,54.0,46.3,7.0,10.0,70.0,15.0,32.0,46.9,72.0,16.0,13.0,1.3,60.2,61.6,31.0,7.0,24.0,6.0,9.0,14.0,0.0,0.0,Home,W,53.0
